,title,link,summary,rating_stars,rating_votting
0,Chocolate Chip Pancakes,https://www.allrecipes.com/recipe/8375465/chocolate-chip-pancakes/,A quick and easy recipe for chocolate chip pancakes from scratch.,5,1
1,Chicken Tagine,https://www.allrecipes.com/recipe/180014/chicken-tagine/,This Moroccan slow cooker dish is the perfect blend of sweetness and spice.,4,194
2,Mexican Capirotada,https://www.allrecipes.com/recipe/236937/mexican-capirotada/,"This traditional bread pudding is served during Lent. It's made with peanuts, raisins, and Cheddar cheese.",5,2
3,Al Kabsa - Traditional Saudi Rice and Chicken,https://www.allrecipes.com/recipe/216889/al-kabsa-traditional-saudi-rice-and-chicken/,"Basmati rice is topped with chicken pieces cooked with aromatic spices, garnished with toasted slivered almonds.",4.5,50
4,Roasted Asparagus Salad with Feta Cheese,https://www.allrecipes.com/recipe/237217/roasted-asparagus-salad-with-feta-cheese/,I was trying to come up with a flavorful salad that did not need dressing.,4.5,22
5,Taco Meat,https://www.allrecipes.com/recipe/239930/taco-meat/,"This recipe makes just the taco meat. You have to buy everything else, of course. Make a big batch and use for a multiple of different meals: add to bean burritos for a more hearty and tasty burrito, or add a can of beans (kidney, red, or pinto) and use for Frito® Pie, Navajo tacos, or taco salad.",4.5,51
6,Royal Rhubarb Crisp,https://www.allrecipes.com/recipe/242074/royal-rhubarb-crisp/,"If you love rhubarb-strawberry mixtures, you'll love this sweet rhubarb crisp.",5,12
7,Couscous with Mushrooms and Sundried Tomatoes,https://www.allrecipes.com/recipe/58165/couscous-with-mushrooms-and-sun-dried-tomatoes/,Lively sun-dried tomatoes and hearty portobello mushrooms are tossed with couscous in this satisfying entree.,4,96
8,Stuffed Dates for Ramadan,https://www.allrecipes.com/recipe/264554/stuffed-dates-for-ramadan/,"During Ramadan, we often eat these stuffed dates to break the fast. They are easy to make and a delicious treat.",5,1
9,Toasted Marshmallow Cake,https://www.allrecipes.com/recipe/8373688/toasted-marshmallow-cake/,Any marshmallow fan will love this toasted marshmallow cake!,0,0
10,Dumplings,https://www.allrecipes.com/recipe/6900/dumplings/,These homemade flour dumplings are quick and easy to make.,4.5,1470
11,Taco Seasoning,https://www.allrecipes.com/recipe/46653/taco-seasoning-i/,"Easy, homemade taco seasoning is cheaper than store-bought versions.",5,7666
